text,isReallyPolitical
WHERE WAS THE TEA PARTY WHEN G.W. BUSH WAS PRESIDENT...,1
"Obama hires IRS lady involved in IRS SCANDAL to Dir of Obama Care...?? Go figure ?? Fire her, but promote to do further damage! #seriously",1
"Trolls are a good way to reveal the idiocy of the #ObamaVoter  they're so stupid,they say things like ""yo yo yo""  stupid yoyo's   BWAHAHA",1
@BarackObama yeah. Forget about the veterans  law abiding citizens huh?   You need illegal aliens so they can vote democrat.   #NoAmnesty,1
@WhiteHouse I hope Netanyahu rips you a new one re Iran! When they finally get a nuke you will be back in Chicago as mayor and won't care,1
A big shoutout to the Obama administration for challenging the ridiculous new NC voting laws. But also lets not let the govt shutdown plz,1
Mr.president you are the best leader we have ever had!!!keep up the great work,1
"""@FoxNews: Poll shows 29 percent of voters think 'armed revolution' might be needed  via @foxnewspolitics"" @JerseyPapi",1
obama will show his birth certificate #beforederrickrosecomesback,1
@comcast and @msnbc continue to hate Christians and love #Islam terrorists. Eff 'em all. @SeldenGADawgs @coff33loveit @theblaze,1
I think it's sad that money controls so much of our lives.,1
Cutting up trees at midnight. That's what's on the itinerary tonight. #firefighter,1
"Remember, @msnbc is an arm of King O @SeldenGADawgs @theblaze @coff33loveit @dryheat115 @hildismom @lemarquand @nobsmina @s_davidson33",1
An educated black man is a dangerous man.,1
FOX News is a joke. #sorrynotsorry,1
"@BreitbartNews You failed to mention that illegal drugs were the ONLY illegal items on their list. All other items, we're legal.",1
Is the president at the game?,1
#Snowden is not the story @mikebarnicle @ThomasARoberts  @SteveRattner the dictates from those that have access to our secrets is.#NSA,1
"""'War and violence are God's way of teaching Americans geography.' -Mark Twain"" -@TheRealGTG",1
#earthday is for retards.,1
To all of you who still support Obama after the decision he just made are flat out ignorant and stupid.,1
"""@JoeWMiller: Illegals to Pay Only $83 a Year to Stay in U.S. Under Senate Plan  makes me sick!!!",1
#EarthDay #recycle,1
"""Rights"" aren't ""rights"" if they can be taken away. They're called privileges.  ~ George Carlin",1
And that's a true fact!...President Obama: deporter-in-chief | Michael Paarlberg,1
What is America coming to?! Having kids and leaving people to watch your child while you go out and get drunk off you're damn ass. #ActRight,1
Back To States!,1
When Kaepernick was little the other kids used to throw diet Pepsi cans at his nose!,1
You can charge your iphone with kaepernicks nose!,1
Kaepernicks previous job was a drug sniffing k-9 at the Oakland airport,1
#NCGOPConvention Tax Reform is a PROCESS not a single event. What we will put in place will give us the channel to make NC competitive.,1
"RISE UP, my fellow #NorthCarolinians! Open letter to Gov. #McCrory #moralmonday #witnesswednesday",1
"I had to join bc the irony wa killing me: #itrustthegovtlike I trust @Facebook,  @Google or any other web service to protect my privacy.",1
We're going to do immigration right--  individual bills.  @virginiafoxx #NCGOPConvention #pelosi earns big BOOS.,1
Bishops from national Episcopal Church meet in SC: Bishops from the national Episcopal Church are set to meet in...,1
Supreme Court expected to rule on same-sex marriage issues: The issues before the court are California's...,1
President @BarackObama cares about the environment he leaves future generations only if we could get him to feel the same way about debt Lol,1
Today's #SCOTUS decision will go down history. Be on the right side of it. #Prop8 #equalitymatters,1
Supreme Court toughens rules in job-discrimination cases: The U.S. Supreme Court decided with a pair of 5-4 votes...,1
Supreme Court rulings on gay-marriage cases due today: Today is a day that both sides of the debate over...,1
McCrory to celebrate transportation money overhaul: Gov. Pat McCrory planned Wednesday to sign a bill into law...,1
"""@LJHynd: @FoxNews  This whole thing is ridiculous  absurd. #TeamPaula"" agreed! People need to just stop, mistakes get made. She apologized",1
"Charlotte  uses conditional special use permits for 80% of all development, says Prof David Owen.  Not vote of confidence in the zoning eh?",1
We the new slaves.,1
A lot of people called it prison where I grew up these are my roots and this is what I love #smalltownUSA,1
THIS IS OUR STATE,1
"May it be the truth that brings down #Obama empire @ProNetworkBuild: Somewhere, something incredible is waiting to be known. - Carl Sagan?",1
Influential pediatricians group backs gay marriage: The nation's most influential pediatrician's group has...,1
"Mind awake but no longer concentrated on a play on racism, bad parenting, death, adultery, robbery, rape, illegitimate children,  FENCES.",1
US civilian adviser killed in Afghan operation: A gunbattle during an Afghan-led military operation in eastern...,1
My teacher said she for Death Penalty.,1
"Robbin, enjoyed you hosting Piers Morgan few nights ago What a great relief not hearing a discussion on gun control.",1
Are you for OR against ABORTION?,1
The American casualties in Afghanistan this weekend are a reminder that were still at war for those who forgot #SOT #Ftwga #SemperFidelis ??,1
Let's Go Panthers! #KeepPounding,0
We dont care,0
NCDOT News Release:  via @ncdot bridge remains open,0
Why aren't the @panthers never shown here. @WNCT9 isn't even showing them. #carolinapanthers,0
THEY SAID THE TRUTH SET YOU FREE,0
"We can go to the park after dark, and smoke that tumbleweed.",0
Not all at once now.,0
Happy birthday to my sister !,0
chipotle Sunday!,0
Why are the @panthers never shown here. @WNCT9 isn't even showing them. #carolinapanthers,0
BREAKING NEWS: Sources from inside Dunkol Mill Farm are confirming that @mikejhampton has been sighted at Friendsgiving. More to come.,0
Change of pace - at the @Panthers game! #football #sportycomments,0
"It's a trio, man. @artfreakfrazier",0
Add a caption. @ Kingdom Hall Of Jehovah's Witnesses,0
There is always some truth in rumors.,0
I'm pretty sure @stevengompers is still @MeckChurch awaiting a return thumbs up from @KristinaAGray  the booth,0
Awesome meal had by all at @chefandthef  last night. We'll be back soon. #kinston #pbs,0
wtf is happening in Houston,0
"As Dwight said,  there's too many people on this earth. We need a new plague.",0
Hoy narra el juego america vs tigres para usa @enriquebermudez  en @UnivisionSports,0
Hope @DeseanJackson10 gets this win on his Bday,0
Thank you Jeremy and Stephanie (@ Bank of America Stadium - @panthers for @TBBuccaneers vs @Panthers) [pic]:,0
Road-tripping back to @Buckeye_Nation ? #sixhours,0
Get rid of Geno. Get rid of Santonio. Get rid of Stephen. And get a running back who's worth a shit.,0
It's official @abbysavannah24 is the most  stubborn human being ever.,0
Hate that I am missing @FlashnLeather29 in the net today!  In Raleighwood today for the canes game! #LetsGoCheckers,0
Just posted a photo @ World's Largest Frying Pan,0
Pure luck.,0
We love you Ms. Hannigan,0
Roads are not made for racecar speeds! Sad news. #RIPPaulWalker,0
"ACT UP, Fight AIDS! Love to my pos friends in Zambia and at home. #WorldAIDSDay",0
Join us and enjoy a sampling of Small Business Foods at Sweet Grass today! Also go to Lavendar?,0
"Its not that the @NHLCanes  lose at home, its that they look awful doing it. Hard to grow a fan base when the product looks that bad.",0
Let's get it together @HoustonTexans,0
"And he had power, too. Real and political. I totally would have done what Anck-Su-Namun did and killed that old Pharoah.",0
YES!,0
#wewantpeters,0
"This is why the @Panthers has the number 1 defense.. Not lick, pure skill and drive",0
With him and his family having dinner.,0
Mike Tolbert Is Killin!,0
SALE ENDS TONIGHT AT MIDNIGHT. USE CODE BLKFRI AT CHECKOUT FOR 30% OFF YOUR ENTIRE PURCHASE. DON'T?,0
This is the lasssst time.,0
"I feel like based on mine and @theFAKEhrabosky conversations, we are in need of some heavy medication. #sadistic",0
"Best birthday ever. Thanks to the old friends, new friends, brothers, and the girl that made it so special. Yal mean the world to me.",0
"If you despise Northern, you are welcome!",0
This has been a very long and very rough day.,0
Until they started shooting,0
A smooth sea never made a skilled sailor.,0
Thanks to that now I wanna go watch Degrassi. Needless to say that show was the shit back in the day. I don't care what anyone says.,0
Israel minister: Iran deal based on 'deceit': Israel on Sunday harshly criticized the international community's...,0
Key points in Iran nuclear deal with world powers: By The Associated Press Iran struck a historic nuclear deal...,0
Lies,0
"NSA Has 50,000 ?Digital Sleeper Agents? Via Computer Malware, Says Latest Snowden Leak",0
"Danny Mcbride is one of the most funny dudes in years, makes sense  being from Fredericksburg, VA.",0
Might have to visit Ohio some time soon a lot #TheFamily seems to be there,0
Almost tax time already,0
Right !,0
"Maana votemos por Salvador Nasralla, que ya no te sigan engaando, maana decides si quieres mejorar o seguir en  hollo en que nos tienen",0
All of my heroes are dead.,0
I'm as thankful for @KaitlinButcher as I am that I'm alive. You seriously were my guardian angel tonight,0
Nobody more inspirational than Chris Herren. Glad I got a chance to listen to him first hand. Phenomenal person,0
Never been this proud! Congrats Pacquiao! #ChampIsBack #PinoyPride #ParaSaPilipinas,0
"Forgiveness does not change the past, but it gives the future a chance.",0
Danita and I spectating and supporting the pack! #gostate @ Carter-Finley Stadium,0
This is frustrating,0
Cant stand it.,0
"What's the word? Me, Mike, Jamal,  Will chilling.",0
"At my new workplace we have a problem with a man that comes in, gives his dog too much whiskey, then the dog gets drunk and breaks glasses.",0
@josephjett thank you for taking your time to answer. Please let me know next time you're on one of the business channels I want tune in.,0
Work.,0
This graduation is long as hell so many kids! #notocprobs,0
Our view where we're eating. @ Provision Company,0
Hope all is well at Diamond Nation tonight!,0
"My heart breaks, for you.",0
How we getting broker but they raise the price of living?,0
"God has this funny way of delivering answers to your prayers through people, and gosh is it good.",0
Writing . Of course.,0
My family is farting on each other wtf #beachDays,0
Really wish @BlairCourtney  and @_kaylajackson  could of come to the game,0
"Y'know how it's creepy when you talk about a wedding online and suddenly Facebook has wedding ads? Yeah, the NSA is that times a thousand.",0
yall know how many ppl thought Nike boots by @Wale was legit about Nike boots ?,0
Bill due tomorrow/:,0
Im glad coach browning was there at camp. Learned a lot from him.,0
"Link is in bio, go ahead.",0
"While at the game, anyone got anything to add to #weihrauchwednesday #winslowwednesday or the newly added #willwednesday ?",0
Overtime. @RailHawksFC vs. ChivasUSA,0
Thanks for letting me tweet from the shower and the bottom of the pool. @OtterBox,0
Looks like Washington and Detroit are in my near future !?,0
ain't talked to @Brasilena8 in a minute.,0
ALL TYPES OF RECKLESSNESS,0
Kids a beast!,0
"Every time I listen to Adele, I think of southern union. Miss you guys.",0
Congrats Plano West rock star graduate @ChaseSongBird!   U R gonna be even bigger star @TAMU!  #GigEmProud,0
"Thanks mom for yet again, ruining my summer.",0
"Drinking and driving is dangerous, inconsiderate, selfish, and irrational.",0
Its time,0
actions speak louder thn words!,0
That was a hell of a shot #letsgohawks,0
Just heard about Jason Leffler`s bad wreck in his sprint car. Praying for him  his family right now.,0
There's always a meth lab bust in wv,0
Tornado sirens in #DelawareCounty surely means Cat Cat completely tearing apart the house. Fabulous. ?+?= ?,0
can't wait to give @DanaDupree her birthday present! hope they fitttttt,0
Great night of laughs @comedyzoneclt for @autismspeaksclt event!,0
"Chris Hayes apologizes after being caught in ?stupid, inexcusable? lie; Do citizens buyit?  via @TwitchyTeam",0
"Quote of the Day: ""Never go full retard"" by @TessaCaruthers",0
Queria mesmo era um show de Jorge e Mateus aqui nos estados unidos,0
I'm putting this off as long as possible. Because I hate doctors And hospitals.,0
"A veces en la vida hay que tomar decisiones , a veces esas decisiones rompen corazones .",0
"Once again, what i sent to the opinion section of El Paso Times was printed on Monday, titled RAISE VOICES",0
"The ""Mooresville mentality"" of ""nobody should race hard is ruining racing here.  After nationals, hopefully the track gets shut down.",0
It's all about your priorities.,0
Molly and I are having our own lodge in the sun lodge #partyanimals,0
@seanhannity @AnnCoulter Congress is killing me!,0
"She believes in me, like she believes her bible.",0
Let's go hawks!,0
"The amount of effort one normally puts forth, generally correlates to the amount of care one normally feels.",0
Prove it,0
Huge penalty kill.,0
"On the road! Peoria, Illinois here we come! @bre_rogy @DRogy19 #familyreunion2013",0
Social protocol states when a friend is upset you offer them a hot beverage.,0
All the boys trying to take @senojaseela out tonight,0
Commitment is an enemy to me!,0
AUSTIN DORRIS : (740) 296-4194 #EatYourHeartOut,0
These refs just happen to have been born in Chicago.,0
Congrats broski @Andrew_Russel ! Stay bati! See yah on Friday!,0
"RT from @Wale, night made. :-) Can't wait to hear #TheGifted, I'm sure it'll be an amazing listen.",0
Act right,0
"When he's not smoking Newports, he's smoking Cigars with his son @ 8620 Walden Ridge Dr.",0
Hearing the news about @JasonLeffler.  Hope he is going to be ok.,0
doesnt matter.,0
"go ask me questions on ask.fm , zuhkeeyah !",0
This is already a nail biting series. Go Bruins!,0
Take a shot for me.,0
"Praying for everyone in the storms ?@NBCNews: Tornado spotted in Savanna, northwest Illinois, some injuries",0
A+ birthday celebration for dad! photo cred @beebumble_ @ Gehsmann House,0
#GoFeds,0
Wondering why the shirt I ordered from @fratcollection hasn't shipped when it was supposed to on Friday. Hmmm.,0
"Men, you can't be godly husbands/fathers if you are not submitted to the authority of God. #BiblicalManhood",0
These side effects of u....,0
Praying for @JasonLeffler,0
#BostonStrong,0
better recognize .,0
#NowWatching Operation Repo,0
#goodassday with @kbranchbabe at the Biltmore Estate.,0
This is pretty cool!,0
Thoughts and prayers to @JasonLeffler,0
Thanks For Finally Speaking Up. #AllINeededToHere,0
i smiled so hard every time Julie got a vote.,0
Prayers for @JasonLeffler #Lefturn,0
Sure will !,0
mom just asked what state Iowa is in. looks like I'm not the only Lawton with geography probz #family,0
"For more clean energy, remove barriers in policy, finance, innovation. #ncmew2013",0
"Wow. Way to go. RT @uncmenslacrosse: We are THRILLED to announce that we have reached our goal of raising $20,000 for #LacrosseVsCancer",0
We are forever grateful for our 1st customer @mikbre for his support from day one and for helping us get back in biz when we were down!,0
honestly amazing no one asking why HHS Gov #ACA CO's and COR's let the contractor fail to deliver on time @cspanwj not witnesses,0
My recitation is cancelled and there are bread bowls in the Agora. #greatday,0
"Currently remembering vividly why I insisted on keeping this pregnancy a secret in the beginning. Also, airports suck.",0
Character is like a tree and reputation like its shadow. The shadow is what we think of it; the tree is the real thing. - Abraham Lincoln,0
Babies and cats need to come together to fight for their rights.,0
Another bad sign  USA TODAY Financial firms cutting thousands of jobs ..  @cspanwj sign of very slow  growth,0
Truman under the bed ?,0
Truman under the bed ?,0
The Lord is my light and my salvation; whom shall I fear? Of whom shall I be afraid? - Psalm 27:1,0
Red alert,0
Markdowns  more markdowns! Come on in and get some great items for yourself and/or #ChristmaaGifts! #FabFound @Marshalls,0
If this isn't one of your favorite throwback songs something is severely wrong with you.,0
Where we stand determines our perspective. Lot stood n Abram's shadow  saw the watered plains toward Sodom. Abram stood...(to be continued),0
(Continued)...Abram stood in God's shadow and saw the innumerable stars of heaven.,0
Should marijuana be legal discussion in class. Interesting.,0
You will deliver me. Yours is the victory.,0
Thanks @emsuzanneee for today. I couldn't have done it alone. ?,0
"Rich folk have no value, for what they value has low value.",0
Very true!,0
Non Factor .,0
"Anybody know of anywhere hiring? Gotta find a new job, STAT.",0
Go Illonois! One more state down!,0
Done. So done with this.,0
I wouldn't know what to do with a girlfriend. Do you have to feed it? How many times? Is it potty trained? Can it cook? #Legitmatequestions,0
"Visiting #Clyde, #NorthCarolina? Check out this great new app for news, weather, hotels, and food here!",0
Not according to my sources.,0
"Catch up on local news from #Badin, #NorthCarolina here!",0
"Catch up on local news from #Topton, #NorthCarolina here!",0
Wow,0
"What's going on in #Raleigh, #NorthCarolina? Check out this great new app for news and weather!",0
"The problem with apple right now is how little incentive there is for it's employees. there is a system, granted, but it needs a final cut.",0
"Find a restaurant in #Mooresville, #NorthCarolina here!",0
Here.it is @germanshorthair @Bea_Bells @ShaynaCat @Skeeterthetabby @Skye613 @IamRustyCat,0
We both need a blunt.,0
Magnitude 5.3 earthquake strikes near Hawaii: The U.S. Geological Survey is revising the magnitude of an...,0
"Catch up on local news from #Plymouth, #NorthCarolina here!",0
"What's going on in #Greensboro, #NorthCarolina? Check out this great new app for news and weather!",0
Yup!,0
"people attach a whole string of identity values to what my consumerism choices or tastes are, that's not asking me my opinion at all.",0
"In other news, my replacement was a basic bitch in cut offs.",0
"I am looking for representation, I do not think I should be my own representative, I know my rights.",0
This makes two.,0
Just posted a photo @ Iredell County Rescue Squad,0
"SO to @BallplayerLifes ! Follow him! He's a sweetie, cute, and he plays baseball! #BaseballFam",0
Check out this item I found on eBay:,0
Tu vida ahora es el resultado d tus actitudes y elecciones dl pasadoTu vida maana ser el resultado d tus actitudes y elecciones hechas HOY,0
Mike is ROLLING! #GoBraves,0
Really enjoying the speech from @rzazueta at #AVLSW. He's got the crowd thinking and excited.,0
"Fish are biting, leader is a 47, we can win this.",0
This is NO bueno.,0
"Law enforcement is reporting baseball sized hail near the Nebraska border and Mills County, Iowa.  @weatherchannel @WeatherNationWX",0
"SiAlgnDiaRecibesUnaInvitacin dla TristezaParaEntrarEnTuVida,dile q ya tienes compromiso con la alegra y prometiste serl fiel tdos losdias",0
"It would be my dream to meet @NayaRivera or even see her. I would kill to play her ""love interest"" on #Glee",0
"In a year I will be a Certified Public Accountant. Until then, I'll be a Certified Public Alcoholic",0
Tonight my office in jengos playhouse has an air of Randall library,0
"Just got kicked out of prime with @Brosiah69 @kstamand7 Lauren, Mike, and Evan #yolo #goodtimes",0
I am an American Airmen.,0
"I am a warrior , I have answered my nations call.",0
"I am a American Airman, my mission is to fly , fight , and win .",0
"I am faithful to a proud heritage , a tradition of honor, and a legacy of valor .",0
"I am an American Airman, guardian of freedom and justice. My nations sword and shield . It's sentry and avenger .",0
I will defend my country with my life .,0
Wow!,0
Watching the home opener of the @BuffaloSabres all the way from North Carolina #homeopener,0
Congrats to the homie @JalenHudson5 for committing to V tech!!!!,0
"I am an American Airman , wingman , leader , warrior.",0
"The #Yankees officially made a contract offer to manager, Joe Girardi. It is believed to be a substantial offer.",0
I miss real Dallas Cowboys talk and listening to @kandc1053 tonight. My thoughts Denver offense cant keep up this pace all season.,0
Best of luck @jonbeason. Thanks for your great play with the #Panthers,0
The CEO makeover has him looking like  Ned Flanders from @TheSimpsons  #UndercoverBoss,0
-8200,0
Yes. @ Texas Roadhouse,0
Fetzer is packed. @carolinafever knows how to fill up a stadium. #StandingRoomOnly,0
What a game @MikeMinor36!,0
Is there such a thing as being addicted to volunteering? #couldbeworse,0
"Dear Fall, my energy bill would appreciate  if you got back to normal windows open weather. Also, you're a jerk for creating stupid pumpkins",0
Wow. Picture that.,0
Leave it to the braves to shoot themselves in the foot.,0
Breast Cancer Awareness Month.,0
October is Hispanic heritage month and Ellen Ochoa was the 1st Hispanic female astronaut. STEM school in Grand Prairie TX named for her,0
Solution to US #mental illness  problem found! Mentally ill drive to White House to visit President. Capitol Police shoot them in the head.,0
This right now.,0
Watching #LorisFight on @TLC ? such a special place near  dear to my heart! #BreastCancerAwareness,0
Nothing like football with Walker and the gang! Go Spiders!,0
Can't blame Fredi for that.,0
Just posted a photo @ I-279,0
Loving the crowd at Goldsboro Arts Council #firstfriday @ Arts Council of Wayne County,0
lenoir county en route!,0
.@ESPNCFB #UpsetAlert Maryland will beat FSU,0
Thank you Fredi,0
That was a big double play @Braves #Choptober  #beatthedodgers,0
"What a clutch play, way to go braves! #Braves #Choptober",0
On this day last year #JerseyShore was starting it's final season @JENNIWOWW,0
"Dear Professor Pangloss, this is not the best of all possible worlds, but I will have none other besides it.",0
Sent you back into the zone.,0
Take the initiative,0
Condolences to the Carey family. Thank you to both sisters for speaking out.  #AC360,0
Let's see if your precious Braves can hold on @ArynRader,0
Friends and family night at #LouRedas ! Opening Monday! #anamericantable @ LouRedas,0
Unforgivable.,0
"Before you spend money on Costa Del Mar, try on Maui Jim's. Much better glasses all the way around. Legit polarized lens. #costaoverhyped",0
HUGE! What a double play. Kimbrel Time!,0
And the #Hurricane slappys celebrate like they just won The Cup. Hate this shit. #GoWings,0
Watching #EndlessYardSale on @hgtv. The Newlywed Guy has a BEAR hat on  he's with his wife! Wonder how long that will last? LOL!,0
Stand up in it!,0
"Can't wait to watch @ChadBoat @kansasspeedway on @FOXSports1 tonight! Starting P3- let's go, little bro.",0
Shutdown delays plan to ease in-flight electronics restrictions: If you?ve been looking forward to the day...,0
We got a rally folks.,0
Chris Johnson!,0
Love to see some offense. #RedWings look like to be in hibernation.,0
I am really happy that the @NHLCanes are back and haven't ripped my heart out just yet.,0
thanks for the help you,0
Let's get this show on the road! #deerfarmturnup,0
If we knew what bears would tweet about maybe there could be peace between our species,0
Why does our performance on one standardized test determine so much? Like what if we suck at testing but are smart?,0
"Love spending time with @AshHope, Friday night movie night! #NoPlaceIdRatherBe",0
"Influence is not just a platform, it's a question of who are you impacting? #StrongConf @FreedomHouseCh",0
"I loved last nights shenanigans. And your precious self, @emmcarp. // @ Klondike",0
"A Roids lawyers filed yet another lawsuit.   Spray everyone, maybe something will stick theory. #aroid=aloser",0
True friends greet each other with an insult.,0
"Went by my favorite bear food truck today, which was a rotten log,  got a killer vegan taco, which was some grubs and a beetle. #beartweets",0
Its officially over .,0
BASES LOADED!,0
Outback is regretting its unlimited shrimp deal right about now,0
Nice win for @CDSLions vball tonight! Hard fought 3-0.,0
let's go canes!,0
And correction the couple is New Zealanders!,0
#LetsGoDevils #NJDvsNYI,0
"Dahlias a lasting symbol of Marsha McLelland?s generosity: Before she left for the festival in Tennessee, Marsha...",0
A new version of iTrees is available. #beartweets,0
"""How's your business going?"" ""Terrible."" ""What happened?"" ""People stopped coming."" ""Why?"" ""Obama got elected.""  #burlington",0
#slowburn,0
"Hear my cry, O God, listen to my prayer ... I call to you when my heart is faint. Lead me to the rock that is higher than I.  Psalm 61:2",0
"Relaxing in the neighborhood park for the @newbelgium Clips Tour, drinking a La Folie. @ Independence?",0
Congrats to you beautiful @CruellaDEVIL_2 !!! I'm proud of you and I pray this pales in comparison to all the achievements ahead of you!,0
Wheeling dealing,0
Son of a gun!,0
Congratulations to @mckenzielwilson for winning homecoming queen!!,0
Bases loaded again!,0
"In Kentucky, it is illegal to carry an ice cream cone in your back pocket. #random",0
"A Boeing 727 aircraft was stolen out of an airport in 2003. Neither the plane, nor the two men aboard were ever found. #random",0
Been following the game on my phone at work for the last few hours. Ready to get home and watch the @Braves take home the win! #Choptober,0
Great time supporting #UNCPVB,0
@deaconmill @Our4thEstate Yes because republicans spent 10+ years redistricting 2 their advantage! #uniteblue,0
Let's go @braves! #FearTheChop (at @FirebellyLounge),0
@imjustakathryn thank you for holding hand :3,0
"Took my wife to Sight  Sound in PA, met our teens in DC for a few hours, almost home  ready for a big weekend at FBC. #busyandblessed",0
Time for me to play @zyngapoker until @RealTimerswith @billmaher comes on.,0
Whip radio is wearing the name @DallasJackson6 out! #devils,0
Its Time For A Change,0
THIS @alexialipscomb,0
"Fayetteville names Harold Medlock, formerly with CMPD, as new Chief of Police: The City of Fayetteville has a new...",0
"Check out the weather for #Gaston, #NorthCarolina here!",0
Officially a traitor.,0
Its not the size of the dog in the fight its the size of the fight in the dog.,0
"Blessed is the one who trusts in the lord, whose confidence is in him. Do not fear. Have no worries in a year of drought. Remember that.",0
Your current situation does NOT have to define who you are. Only you can define that.,0
One of my favorites.,0
This is a friend of mine.She is a great cocksucker.,0
Congratulations to my dad. Vice President of NAACP Statesville.,0
Live life the way YOU see fit. Just be prepared for any and all repercussions.,0
"""Blessed is the one who trusts in the Lord, whose confidence is in Him. Do not fear. Have no worries in a year of drought."" Remember that.",0
"Affectionate Teacup Yorkie Puppies to offer for Free Adoption.They are akc registered,paper  house trained and has...",0
"What are people saying locally about #Moncure, #NorthCarolina? Find out here!",0
I am ready for #swampdogs baseball season! @GoSwampDogs Can't wait for May! #newfan,0
it was a general statement (middle finger to you all),0
Making plans to live on 1500$ couches with @knjlovesyouu,0
Sad day in #SilerCity!! RIP Mayor Johnson!!,0
What a great brand name for a scale.  @ Presbyterian Medical Tower,0
Thanks to my trainer Mike for helping me get ready.,0
Team building day at work.  @ MeadowWoods Farm,0
"Just got an email for UNC's new strategic plan for athletics, which begs the question ""Who was just fired?""",0
Book was 200 dollars. Thank you,0
"What are people saying locally about #Riegelwood, #NorthCarolina? Find out here!",0
Today is a Beautiful day!,0
"Everything you want to know about #Hayesville, #NorthCarolina here!",0
Just posted a photo @ Mount Jefferson View,0
"Leave your face open, burglary in a direct approach.",0
Tomorrow I'm going to look at apartments with @BleedGoldNGreen and going to financial aid andddd looking for jobs. #busyday,0
Feeling much better about the upcoming year and grad school. Thank you @drstroman! #justtryingtogettodenver,0
On our way to the gym to train for PT @AntoniaSharonne,0
"At District Sci Fair -with  awesome kids, wonderful parents and great Administration! #hms",0
"Koalas essentially spend their entire lives stoned, due to the eucalyptus. #themoreyouknow",0
Excited about @PackMensBball tonight with @brittanyfo0531! #GoPack,0
"#hofvote No way, Barry Bonds. No way!",0
today,0
Why is Cecil so awful at Call of Duty?,0
"Wish I had a redneck boy to ride huntmud w/. It doesn't have to be perf, but just to have someone redneck like me  to enjoy the 200 acres!",0
PLANE. THEY TURNED OFF THE PLANE!,0
Load up on firearms. There is a retard loose in DC and he wants to take your weapons away. @gbout3 @MrStaverPlease @Fitzfacedd,0
I think I get all these followers because of #WhiteGirlWedenesday,0
Our new poster thanks to @amycollman,0
"Becausee 'round heree, People Change In A Minutee!",0
@FBNRecordings thanks for your support!,0
"It's a game, not heaven. If I had a vote my ballot would be: Craig Biggio, Barry Bonds  Roger Clements.",0
"After $10B Fannie deal, U.S. attorney not backing off Bank of America: Despite a settlement with an alleged victim,...",0
"Its just up to yourself to accept it, learn from it,  move forward.",0
You are irrelevant. #swerve,0
"My grandad turned 92 today, and still can remember every detail of a baseball game 50 years ago. Hope I take after him.",0
Downtown Burlington is sort of cute. And also sketchy.,0
there should be more southern gentlemen in this county.,0
Oh dear. Actual Burlies on the biobus. Not prepared for this.,0
Are there any other teams inquiring about Pau besides Minnesota? @Lakerholicz,0
"Every storm runs, runs out of rain.",0
Thank you !,0
Win: NYPL has floppies Timothy Leary and Keith Haring exchanged on  projects. Lose: they're Amiga disks that make most forensic tools barf.,0
Not,0
si se juntan los mares y los  los rios por k no se juntan tus labios con los mios,0
"In the area of human relations, we make big decisions based on little data.  @TWH_PhD @Leadership_WS",0
"Live, on the scene at the Cub @thischickkreay",0
Joe Biden mentions that the President may issue an executive order on guns and the Tea Party assumes they will all be confiscated. Lovely.,0
"In honor of the @MultiverseAVL Game Central Station event tonight, featuring a spee @ The Hop Ice Cream Cafe",0
