,date,text,latitude,longitude,geometry,label,score
2705,2013-07-01 17:44:17,This is weird.,35.9553509,-77.7971433,POINT (-77.7971433 35.9553509),isPolitical,0.6894208192825317
2771,2013-07-01 17:45:18,Go Gators!,35.22077477,-80.94189534,POINT (-80.94189534 35.22077477),isPolitical,0.9160805344581604
2822,2013-07-01 17:46:05,,35.90902247,-75.67846699,POINT (-75.67846699 35.90902247),isPolitical,0.9914114475250244
2825,2013-07-01 17:46:07,"Be still and know that I am your God; I will be exalted among the nations, I will be exalted in all the earth Psalm 46:10",36.2709498,-78.4301901,POINT (-78.4301901 36.2709498),isPolitical,0.9934095144271851
2831,2013-07-01 17:46:10,,33.94299671,-78.03087082,POINT (-78.03087082 33.94299671),isPolitical,0.9914114475250244
2848,2013-07-01 17:46:25,y Rhea's power was so great that even her charges felt secure in #challenging Xal.,34.685,-77.891,POINT (-77.891 34.685),isPolitical,0.8245380520820618
2870,2013-07-01 17:46:41,Its cancer season !,36.3273375,-78.4514681,POINT (-78.4514681 36.3273375),isPolitical,0.9951474070549011
2909,2013-07-01 17:47:14,Prayers go out to the families of the 19 firefighters that lost their lives in the Arizona wildfires,34.2412959,-77.83926088,POINT (-77.83926088 34.2412959),isPolitical,0.9999077320098877
2913,2013-07-01 17:47:16,Made it to Charlotte safe!,35.2209356,-80.94389717,POINT (-80.94389717 35.2209356),isPolitical,0.9181011915206909
3080,2013-07-01 17:49:18,"Div's eyes widened. He was about to take the Firespray in for a landing, when Ferus stayed his hand. #""Not yet,"" he said.",35.79,-80.782,POINT (-80.782 35.79),isPolitical,0.9459767937660217
3101,2013-07-01 17:49:33,Opening Day! Wake County Justice Center. #wakejc @ Wake County Justice Center ,35.7766123,-78.64190448,POINT (-78.64190448 35.7766123),isPolitical,0.9943122863769531
3128,2013-07-01 17:50:02,Supreme Court wrap up: Constitutional expert explains why the Court 'got the ... - Vanderbilt University News ,36.07730042,-79.82105678,POINT (-79.82105678 36.07730042),isPolitical,0.9634512066841125
3157,2013-07-01 17:50:22,"I'm fascinated by attempts to define ""bad"" sexuality in our omnipermissive, Freudian culture. Here's a good attempt: ",35.8622151,-78.8395624,POINT (-78.8395624 35.8622151),isPolitical,0.8823125958442688
3198,2013-07-01 17:50:50,Change does not change tradition. It strengthens it. Change is a challenge  an opportunity; not a threat..to progress we must adapt.,35.39149592,-80.87451083,POINT (-80.87451083 35.39149592),isPolitical,0.9539881944656372
3236,2013-07-01 17:51:24,"Ray, Adriana, Shannon and Paul are the only ones who have talked to me without me starting the conversation in forever. I miss my friends.",34.25397625,-77.87805843,POINT (-77.87805843 34.25397625),isPolitical,0.9512712955474854
3341,2013-07-01 17:52:57,Happy Canada Day,35.0163833,-83.8994859,POINT (-83.8994859 35.0163833),isPolitical,0.6524323225021362
3380,2013-07-01 17:53:35,Its ready to storm !,36.3273375,-78.4514681,POINT (-78.4514681 36.3273375),isPolitical,0.9637978076934814
3416,2013-07-01 17:54:14,"""@CharlieKayeCBS: Russian source confirms to @CBSNews Edward Snowden has applied for asylum in Russia."" What a traitor!",34.6559932,-77.3414825,POINT (-77.3414825 34.6559932),isPolitical,0.9988992214202881
3452,2013-07-01 17:54:34,"""Dogs Bark, Birds Fly, Fish Swim,  Christians Repent"" -@PastorMark",35.3188362,-80.77441796,POINT (-80.77441796 35.3188362),isPolitical,0.6224363446235657
3487,2013-07-01 17:55:03,It should be a law that if you don't chew with your mouth closed you CAN'T eat chips.,35.89821154,-75.64383139,POINT (-75.64383139 35.89821154),isPolitical,0.9921922087669373
3490,2013-07-01 17:55:06,,36.16198735,-79.7114177,POINT (-79.7114177 36.16198735),isPolitical,0.9914114475250244
3536,2013-07-01 17:55:46,$600,35.14823475,-80.89067208,POINT (-80.89067208 35.14823475),isPolitical,0.6678563952445984
3661,2013-07-01 17:57:51,We aren't on speaking terms. @skyeevictoriaa ,36.10131813,-75.71142799,POINT (-75.71142799 36.10131813),isPolitical,0.9910597205162048
3737,2013-07-01 17:58:51,"""@nbcnightlynews: U.S. Coast Guard seizes $19 million in cocaine from drug smuggling boat (via @nbc6)  was Dr Rockso",34.657567,-77.3426757,POINT (-77.3426757 34.657567),isPolitical,0.9892625212669373
3758,2013-07-01 17:59:10,,36.0647426,-75.6993306,POINT (-75.6993306 36.0647426),isPolitical,0.9914114475250244
3841,2013-03-09 00:00:33,Thats why we get along so well .,36.04038213,-78.9065071,POINT (-78.9065071 36.04038213),isPolitical,0.9547592401504517
3859,2013-03-09 00:00:59,done.,35.71126786,-78.78956644,POINT (-78.78956644 35.71126786),isPolitical,0.7532618045806885
3876,2013-03-09 00:01:17,Starting spring break right. #Chipotle with @RiahTTola,36.0660975,-79.8062047,POINT (-79.8062047 36.0660975),isPolitical,0.9757399559020996
3979,2013-03-09 00:03:21,thank you @jaaaymariiie and @JennnnnnaMarie  for saving night?,35.42210188,-78.25013883,POINT (-78.25013883 35.42210188),isPolitical,0.9766070246696472
4120,2013-03-09 00:05:55,It's sad that all these countries come to peace only when something bad happens. #RIPHugo,34.8423273,-77.7998221,POINT (-77.7998221 34.8423273),isPolitical,0.964798092842102
4165,2013-03-09 00:06:59,Amazing dinner at bourbon barrel! ,35.478303,-83.003361,POINT (-83.003361 35.478303),isPolitical,0.5112128257751465
4171,2013-03-09 00:07:01,"

",35.14306627,-80.9773932,POINT (-80.9773932 35.14306627),isPolitical,0.9914114475250244
4208,2013-03-09 00:07:56,Coffee milkshake:3 ,36.08776438,-79.83133093,POINT (-79.83133093 36.08776438),isPolitical,0.9689866900444031
4221,2013-03-09 00:08:14,Happy International Woman's Day!,34.8982933,-77.7865846,POINT (-77.7865846 34.8982933),isPolitical,0.9907124638557434
4288,2013-03-09 00:09:55,"Successful people ask better questions, and as a result, they get better answers. #Consider where you are",35.80607701,-78.64972026,POINT (-78.64972026 35.80607701),isPolitical,0.7223706841468811
4294,2013-03-09 00:09:59,Really want #TexasSteakHouse,36.2168956,-77.9484281,POINT (-77.9484281 36.2168956),isPolitical,0.9942065477371216
4328,2013-03-09 00:10:35,Might not seem like much but you cannot deny free money. Lt.,34.9262763,-77.7799658,POINT (-77.7799658 34.9262763),isPolitical,0.9848591685295105
4329,2013-03-09 00:10:36,THE ALLEN HOUSEHOLD HAS A NEW MAILBOX!,35.28135296,-80.30241514,POINT (-80.30241514 35.28135296),isPolitical,0.9974986910820007
4362,2013-03-09 00:11:14,Picking up joe and then we are officially key west bound - road trip! ,35.22051375,-80.94364426,POINT (-80.94364426 35.22051375),isPolitical,0.9923532605171204
4478,2013-03-09 00:14:08,I think I'm gonna let my dog pick my NCAA bracket this year. She could probably pick it just as well as I can #marchmadness #screwed,36.06650101,-79.81565874,POINT (-79.81565874 36.06650101),isPolitical,0.965423583984375
4498,2013-03-09 00:14:37,250 billion to Egypt and we have stopped military financial aid for college !,35.80570822,-78.65002433,POINT (-78.65002433 35.80570822),isPolitical,0.9998877048492432
4551,2013-03-09 00:15:37,"A man is asking his friend what ""popping tags"" means because his kids sing a song about it  the man replies, ""I think tags are drugs.""",35.22029131,-80.94721253,POINT (-80.94721253 35.22029131),isPolitical,0.9548901915550232
4853,2013-03-09 00:21:37,.@davidaxelrod You are totally right. That's why fast and furious is still unclear. That was gun trafficking wasn't it?,35.01226383,-83.67745358,POINT (-83.67745358 35.01226383),isPolitical,0.9960630536079407
4888,2013-03-09 00:22:18,Some ppl are meant to be in our heart bt not in our lives.,35.4177741,-78.7978301,POINT (-78.7978301 35.4177741),isPolitical,0.5190016031265259
4921,2013-03-09 00:23:07,"Ests en donde ests ya no puedo prometer ni un tal vez, la vida sigue andando y yo tambin !",34.98402138,-80.60821376,POINT (-80.60821376 34.98402138),isPolitical,0.606182873249054
5022,2013-03-09 00:25:21,Scores tied,35.0151376,-78.891718,POINT (-78.891718 35.0151376),isPolitical,0.6956255435943604
5065,2013-03-09 00:26:03,.@DailyCaller Do the other 11% of NRA members think we should go back to single shot weapons or even better muzzle loaders?,35.01226372,-83.67745374,POINT (-83.67745374 35.01226372),isPolitical,0.9991356730461121
5153,2013-03-09 00:27:34,"Bill that would lift N.C. fracking ban debated at forum: Risks, benefits of hydraulic fracturing discussed at UNC... ",35.22483977,-80.84079342,POINT (-80.84079342 35.22483977),isPolitical,0.9988188147544861
5195,2013-03-09 00:28:23,Anybody know of any job openings around huntersville concord area,35.41152254,-80.75748115,POINT (-80.75748115 35.41152254),isPolitical,0.5673941969871521
5261,2013-03-09 00:29:25,,34.6289705,-78.9940428,POINT (-78.9940428 34.6289705),isPolitical,0.9914114475250244
5314,2013-03-09 00:30:23,Its all Silence !,35.09448083,-77.09166306,POINT (-77.09166306 35.09448083),isPolitical,0.8938486576080322
5398,2013-03-09 00:31:55,Don't washington get alot of snow ? oo:,36.04803004,-78.90689845,POINT (-78.90689845 36.04803004),isPolitical,0.9373721480369568
5444,2013-03-09 00:33:02,"my family is so funny, we need a talk show on the radio or something. especially my grandpa.",35.93922964,-81.53831335,POINT (-81.53831335 35.93922964),isPolitical,0.831665575504303
5458,2013-03-09 00:33:27,How the hell is Hillary Clinton pathetic ... Tell me ... When she is a inspiration to all women .... . Who made history .... So shit f up,36.3118797,-76.2446358,POINT (-76.2446358 36.3118797),isPolitical,0.7436683773994446
5505,2013-03-09 00:34:25,,35.61915104,-82.63332852,POINT (-82.63332852 35.61915104),isPolitical,0.9914114475250244
5598,2013-03-09 00:35:40,Elizabeth and Libby. @ Crafted ,36.07095066,-79.79005061,POINT (-79.79005061 36.07095066),isPolitical,0.9958413243293762
5602,2013-03-09 00:35:42,"Esto no termina aqui, todooos tenemos que votar el 5 de abril y hacer valernos como venezolanos",35.1524833,-80.4983922,POINT (-80.4983922 35.1524833),isPolitical,0.9922370314598083
5617,2013-03-09 00:36:00,Simpson needs to settle down and breathe. Plenty of time to get back in this.,35.59758436,-82.55562376,POINT (-82.55562376 35.59758436),isPolitical,0.9960053563117981
5629,2013-03-09 00:36:11,These youngins be trying to give me the business! Get yourself together and holla at me in a few years.,35.79611778,-80.94011486,POINT (-80.94011486 35.79611778),isPolitical,0.8450536131858826
5681,2013-03-09 00:37:16,This coversation ,35.6115539,-80.8234892,POINT (-80.8234892 35.6115539),isPolitical,0.8593022227287292
5698,2013-03-09 00:37:31,,35.14313527,-80.97747041,POINT (-80.97747041 35.14313527),isPolitical,0.9914114475250244
5714,2013-03-09 00:37:46,,33.9070679,-78.5802987,POINT (-78.5802987 33.9070679),isPolitical,0.9914114475250244
5720,2013-03-09 00:37:52,"
",35.14308019,-80.97742212,POINT (-80.97742212 35.14308019),isPolitical,0.9914114475250244
5728,2013-03-09 00:38:03,Ghost in the machine. @ Crafted ,36.07095066,-79.79005061,POINT (-79.79005061 36.07095066),isPolitical,0.6846340894699097
5773,2013-03-09 00:38:54,Im going to go to school everyday next week just so @flyscooby and @Swaggin_Stephon cant say anything.,34.3060134,-77.8744427,POINT (-77.8744427 34.3060134),isPolitical,0.9680427312850952
5877,2013-03-09 00:40:44,RT if you have a hard time distinguishing McCain and Graham from Pelosi and Reid,35.22603896,-80.84215198,POINT (-80.84215198 35.22603896),isPolitical,0.9998061060905457
5881,2013-03-09 00:40:47,Great time celebrating @bckyllou for her birthday with the family. Understanding what family means...  #fb,36.14515448,-78.72431031,POINT (-78.72431031 36.14515448),isPolitical,0.9785873293876648
5940,2013-03-09 00:42:00,We had a retirement party for Brian Hutchens. Great friend! He was the supervisor at Salem Lake that hired me. ,36.20050396,-80.32464235,POINT (-80.32464235 36.20050396),isPolitical,0.9991752505302429
5990,2013-03-09 00:43:13,There comes a time when you have to choose between turning the page and closing the book.,35.54757385,-77.26168565,POINT (-77.26168565 35.54757385),isPolitical,0.971841037273407
6143,2013-03-09 00:46:07,S/o to baby @madison for getting playing time and a single for varsity! Proud of my girl!,36.1071349,-80.0541645,POINT (-80.0541645 36.1071349),isPolitical,0.6047359108924866
6173,2013-03-09 00:46:32,too black for the white kids and too white for the blacks,35.2580777,-81.186129,POINT (-81.186129 35.2580777),isPolitical,0.9286080002784729
6185,2013-03-09 00:46:54,I wish Michelle Obama would come to East Duplin. She'd probably say we're the worst school she's ever seen.,34.8843018,-77.789894,POINT (-77.789894 34.8843018),isPolitical,0.9806582927703857
6189,2013-03-09 00:46:55,cancer patients are easily the most awesome kind of humans on this planet,35.60679138,-77.41636402,POINT (-77.41636402 35.60679138),isPolitical,0.8587086200714111
6197,2013-03-09 00:47:02,Family time! Missed them so much. #SpringBreak,36.0160717,-79.53960981,POINT (-79.53960981 36.0160717),isPolitical,0.9012879729270935
6387,2013-03-09 00:50:19,My son kamryn ,36.0926047,-79.8177231,POINT (-79.8177231 36.0926047),isPolitical,0.9616273641586304
6449,2013-03-09 00:51:35,With Maria there's never a dull moment. Book your appt TODAY. all appts require $20 deposit. 704-953-1509? ,35.201,-80.843,POINT (-80.843 35.201),isPolitical,0.9979504942893982
6467,2013-03-09 00:51:52,#FamilyFirst,36.08815922,-80.22620015,POINT (-80.22620015 36.08815922),isPolitical,0.5430406928062439
6501,2013-03-09 00:52:39,WELCOME TO THE GOOD LIFE @ Taberna Country Club ,35.05227292,-77.0305109,POINT (-77.0305109 35.05227292),isPolitical,0.8420687317848206
6537,2013-03-09 00:53:10,Book your appt TODAY. all appts require $20 deposit. 704-953-1509 #shiny #nailsswag #nailstoinspire? ,35.201,-80.843,POINT (-80.843 35.201),isPolitical,0.8264622688293457
6544,2013-03-09 00:53:15,Pretty much. ,35.45851995,-82.11931435,POINT (-82.11931435 35.45851995),isPolitical,0.8899100422859192
6582,2013-03-09 00:54:08,I'm so fed up with the GOP establishment. Rand Paul excited the nation McCain chastizes him? Jackass @LOLDems2012 @avery888 @senjohnmccain,35.22706751,-80.84343805,POINT (-80.84343805 35.22706751),isPolitical,0.9996895790100098
6595,2013-03-09 00:54:24,Gate D3 to Ft Lauderdale: Where college kids and senior citizens collide. #SB2k13,35.22044036,-80.94098823,POINT (-80.94098823 35.22044036),isPolitical,0.7597648501396179
6608,2013-03-09 00:54:39,,34.919754,-79.7513733,POINT (-79.7513733 34.919754),isPolitical,0.9914114475250244
6670,2013-03-09 00:55:42,,35.20513135,-80.72759268,POINT (-80.72759268 35.20513135),isPolitical,0.9914114475250244
6725,2013-03-09 00:56:40,,35.73663825,-78.77063348,POINT (-78.77063348 35.73663825),isPolitical,0.9914114475250244
6736,2013-03-09 00:56:50,Traveling is stressful. Just had to switch a car reservation to Houston from San Antonio because they mixed up our flight,35.22021555,-80.94442962,POINT (-80.94442962 35.22021555),isPolitical,0.5236241817474365
6764,2013-03-09 00:57:25,celeb status at the expo with @cmscavone @ Charlotte Convention Center ,35.22256159,-80.84529573,POINT (-80.84529573 35.22256159),isPolitical,0.9085764288902283
6792,2013-03-09 00:57:52,Where are the parties in Goldsboro,35.3948604,-77.9343007,POINT (-77.9343007 35.3948604),isPolitical,0.9717684984207153
6801,2013-03-09 00:58:04,After our Austin flight got delayed because of weather in Philly. This is one of the reasons flying out of Roanoke is #frustrating. #sxsw,35.21976282,-80.94432747,POINT (-80.94432747 35.21976282),isPolitical,0.9870456457138062
6806,2013-03-09 00:58:18,Really wish @DillonBFuller was here.,35.17151959,-81.10878043,POINT (-81.10878043 35.17151959),isPolitical,0.987980306148529
6851,2013-03-09 00:59:13,"March, you ain't startin off too good. #fixyourself",36.31423038,-78.86814435,POINT (-78.86814435 36.31423038),isPolitical,0.9215520620346069
6912,2013-11-12 16:00:00,The real question is why do we even HAVE an ECU cow statue?,35.60408622,-77.36799289,POINT (-77.36799289 35.60408622),isPolitical,0.9746096134185791
6913,2013-11-12 16:00:00,"Hendersonville Water and Sewer working on the water pressure problem in @AskHendo Mountain Home, NC. @BlueRidgeNow ",35.37501926,-82.49603748,POINT (-82.49603748 35.37501926),isPolitical,0.9954533576965332
6938,2013-11-12 16:01:00,"@NOAA @NOAANCDC not happy if it's cooler, not happy if it's warmer!  Give climate change a@rest and concentrate on forecasting correctly.",34.94205867,-76.86354927,POINT (-76.86354927 34.94205867),isPolitical,0.734086275100708
6986,2013-11-12 16:02:00,Taco Bell for dinner last night. Does anyone know how to apply for Federal Disaster relief for my bathroom?,35.0627105,-80.8504948,POINT (-80.8504948 35.0627105),isPolitical,0.9994741082191467
6991,2013-11-12 16:03:00,"The only limits we have, are those, we put on ourselves.",35.17648467,-80.46880974,POINT (-80.46880974 35.17648467),isPolitical,0.9940755367279053
